Index,ID,Hand,XPos,YPos,ZPos,Time
0,NULL,Right,0,0,0,0
0,NULL,Left,-0.4161595,1.231008,-0.3814728,1.346689
0,NULL,Right,-0.237223,1.204517,-0.299417,1.346689
0,NULL,Left,-0.5295786,1.181132,-0.4179453,2.240127
0,NULL,Right,-0.2677301,1.15343,-0.2905812,2.240127
0,NULL,Left,-0.5387411,1.167173,-0.4336297,2.755688
0,NULL,Right,-0.2563035,1.137425,-0.2926047,2.755688
0,NULL,Left,-0.5403575,1.160718,-0.4311336,3.202459
0,NULL,Right,-0.2571727,1.134419,-0.2895634,3.202459
0,NULL,Left,-0.5430666,1.160873,-0.427325,3.645328
0,NULL,Right,-0.255676,1.136656,-0.2861345,3.645328
0,NULL,Left,-0.5338627,1.148522,-0.4300263,4.090397
0,NULL,Right,-0.252451,1.13426,-0.2919968,4.090397
0,NULL,Left,-0.5259193,1.14665,-0.4305583,4.534388
0,NULL,Right,-0.2455067,1.131731,-0.298719,4.534388
0,NULL,Left,-0.5215591,1.148851,-0.4232284,4.978362
0,NULL,Right,-0.2386304,1.13321,-0.3000463,4.978362
0,NULL,Left,-0.5168072,1.144735,-0.4193394,5.423639
0,NULL,Right,-0.2420103,1.1346,-0.30089,5.423639
0,NULL,Left,-0.5165231,1.152639,-0.4167092,5.878566
0,NULL,Right,-0.2437504,1.134664,-0.305254,5.878566
0,NULL,Left,-0.5150743,1.14822,-0.4159805,6.335423
0,NULL,Right,-0.2419648,1.133883,-0.3039493,6.335423
0,NULL,Left,-0.5191997,1.15075,-0.4199197,6.779126
0,NULL,Right,-0.2481068,1.134116,-0.3022001,6.779126
0,NULL,Left,-0.515825,1.146047,-0.4211282,7.223311
0,NULL,Right,-0.2475034,1.133211,-0.30148,7.223311
0,NULL,Left,-0.5119835,1.111277,-0.4555602,7.668068
0,NULL,Right,-0.2625672,1.121821,-0.3082325,7.668068
0,NULL,Left,-0.506786,1.119692,-0.512585,8.112595
0,NULL,Right,-0.2926116,1.128992,-0.3267197,8.112595
0,NULL,Left,-0.4968189,1.110416,-0.4911644,8.55814
0,NULL,Right,-0.2851604,1.12761,-0.3195817,8.55814
0,NULL,Left,-0.5017821,1.102038,-0.4774405,9.001813
0,NULL,Right,-0.2830633,1.125421,-0.3080867,9.001813
0,NULL,Left,-0.5100641,1.081633,-0.4942067,9.446014
0,NULL,Right,-0.286887,1.114872,-0.3388652,9.446014
0,NULL,Left,-0.5183935,1.076361,-0.544403,9.890549
